day_index,week_index,media_post_count,star_count
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,2,0,0
15,2,0,0
16,2,0,0
17,2,0,0
18,2,0,0
19,2,0,0
20,2,0,0
21,3,0,0
22,3,0,0
23,3,0,0
24,3,0,0
25,3,0,0
26,3,0,0
27,3,0,0
28,4,0,0
29,4,0,0
30,4,0,0
31,4,0,0
32,4,0,0
33,4,0,0
34,4,0,0
35,5,0,0
36,5,0,0
37,5,0,0
38,5,0,0
39,5,0,0
40,5,0,0
41,5,0,0
42,6,0,0
43,6,0,0
44,6,0,0
45,6,0,0
46,6,0,0
47,6,0,0
48,6,0,0
49,7,0,0
50,7,0,0
51,7,0,0
52,7,0,0
53,7,0,0
54,7,0,0
55,7,0,0
56,8,0,0
57,8,0,0
58,8,0,0
59,8,0,0
60,8,0,0
61,8,0,0
62,8,0,0
63,9,0,0
64,9,0,0
65,9,0,0
66,9,0,0
67,9,0,0
68,9,0,0
69,9,0,0
70,10,0,0
71,10,0,0
72,10,0,0
73,10,0,0
74,10,0,0
75,10,0,0
76,10,0,0
77,11,0,0
78,11,0,0
79,11,0,0
80,11,0,0
81,11,0,0
82,11,0,0
83,11,0,0
84,12,0,0
85,12,0,0
86,12,0,0
87,12,0,0
88,12,0,0
89,12,0,0
90,12,0,0
91,13,0,0
92,13,0,0
93,13,0,0
94,13,0,0
95,13,0,0
96,13,0,0
97,13,0,0
98,14,0,0
99,14,0,0
100,14,0,0
101,14,0,0
102,14,0,0
103,14,0,0
104,14,0,0
105,15,0,0
106,15,0,0
107,15,0,0
108,15,0,0
109,15,0,0
110,15,0,0
111,15,0,0
112,16,0,0
113,16,0,0
114,16,0,0
115,16,0,0
116,16,0,0
117,16,0,0
118,16,0,0
119,17,0,0
120,17,0,0
121,17,0,0
122,17,0,0
123,17,0,0
124,17,0,0
125,17,0,0
126,18,0,0
127,18,0,0
128,18,0,0
129,18,0,0
130,18,0,0
131,18,0,0
132,18,0,0
133,19,0,0
134,19,0,0
135,19,0,0
136,19,0,0
137,19,0,0
138,19,0,0
139,19,0,0
140,20,0,0
141,20,0,0
142,20,0,0
143,20,0,0
144,20,0,0
145,20,0,0
146,20,0,0
147,21,0,0
148,21,0,0
149,21,0,0
150,21,0,0
151,21,0,0
152,21,0,0
153,21,0,0
154,22,0,0
155,22,0,0
156,22,0,0
157,22,0,0
158,22,0,0
159,22,0,0
160,22,0,0
161,23,0,0
162,23,0,0
163,23,0,0
164,23,0,0
165,23,0,0
166,23,0,0
167,23,0,0
168,24,0,0
169,24,0,0
170,24,0,0
171,24,0,0
172,24,0,0
173,24,0,0
174,24,0,0
175,25,0,0
176,25,0,0
177,25,0,0
178,25,0,0
179,25,0,0
180,25,0,0
181,25,0,0
182,26,0,0
183,26,0,0
184,26,0,0
185,26,0,0
186,26,0,0
187,26,0,0
188,26,0,0
189,27,0,0
190,27,0,0
191,27,0,0
192,27,0,0
193,27,0,0
194,27,0,0
195,27,0,0
196,28,0,0
197,28,0,0
198,28,0,0
199,28,0,0
200,28,0,0
201,28,0,0
202,28,0,0
203,29,0,0
204,29,0,0
205,29,0,0
206,29,0,0
207,29,0,0
208,29,0,0
209,29,0,0
210,30,0,0
211,30,0,0
212,30,0,0
213,30,0,0
214,30,0,0
215,30,0,0
216,30,0,0
217,31,0,0
218,31,0,0
219,31,0,0
220,31,0,0
221,31,0,0
222,31,0,0
223,31,0,0
224,32,0,0
225,32,0,0
226,32,0,0
227,32,0,0
228,32,0,0
229,32,0,0
230,32,0,0
231,33,0,0
232,33,0,0
